# Freq	Snu	dSnu
# GHz	uJy	uJy
3.53390e+01	145.5	356.0
3.53420e+01	-281.4	265.0
3.53450e+01	433.6	243.0
3.53480e+01	-84.4	228.0
3.53510e+01	97.3	218.0
3.53540e+01	-164.7	212.0
3.53570e+01	282.1	207.0
3.53600e+01	162.1	203.0
3.53630e+01	184.8	201.0
3.53660e+01	-106.8	197.0
3.53690e+01	-202.7	195.0
3.53720e+01	-316.6	194.0
3.53750e+01	24.0	193.0
3.53780e+01	553.8	192.0
3.53810e+01	-189.3	190.0
3.53840e+01	104.9	188.0
3.53870e+01	-314.4	188.0
3.53900e+01	-35.2	186.0
3.53930e+01	213.8	185.0
3.53960e+01	710.4	184.0
3.53990e+01	-181.4	183.0
3.54020e+01	155.8	182.0
3.54050e+01	318.4	182.0
3.54080e+01	36.1	181.0
3.54110e+01	200.1	180.0
3.54140e+01	-25.2	179.0
3.54170e+01	162.3	179.0
3.54200e+01	-20.4	179.0
3.54230e+01	-242.1	178.0
3.54260e+01	14.4	178.0
3.54290e+01	368.7	178.0
3.54320e+01	165.2	177.0
3.54350e+01	-269.3	176.0
3.54380e+01	-50.6	175.0
3.54410e+01	530.4	176.0
3.54440e+01	20.0	181.0
3.54470e+01	-205.9	210.0
3.54500e+01	-141.3	308.0
3.54530e+01	180.8	242.0
3.54560e+01	100.1	190.0
3.54590e+01	278.5	178.0
3.54620e+01	167.7	175.0
3.54650e+01	150.9	175.0
3.54680e+01	262.4	175.0
3.54710e+01	-99.3	175.0
3.54740e+01	235.2	175.0
3.54770e+01	135.5	175.0
3.54800e+01	-192.0	174.0
3.54830e+01	271.9	175.0
3.54860e+01	-37.1	175.0
3.54890e+01	31.5	174.0
3.54920e+01	-156.2	174.0
3.54950e+01	155.3	174.0
3.54980e+01	191.3	174.0
3.55010e+01	30.8	174.0
3.55040e+01	519.6	175.0
3.55070e+01	199.9	175.0
3.55100e+01	9.8	175.0
3.55130e+01	274.8	175.0
3.55160e+01	144.7	175.0
3.55190e+01	-68.4	175.0
3.55220e+01	-103.2	175.0
3.55250e+01	-173.2	175.0
3.55280e+01	-15.3	176.0
3.55310e+01	116.5	176.0
3.55340e+01	48.9	176.0
3.55370e+01	340.5	176.0
3.55400e+01	-175.6	176.0
3.55430e+01	111.6	177.0
3.55460e+01	356.7	177.0
3.55490e+01	-63.5	177.0
3.55520e+01	335.1	177.0
3.55550e+01	-112.5	177.0
3.55580e+01	142.2	178.0
3.55610e+01	-164.9	178.0
3.55640e+01	146.3	178.0
3.55670e+01	12.0	179.0
3.55700e+01	-52.8	181.0
3.55730e+01	41.7	194.0
3.55760e+01	-407.0	243.0
3.55790e+01	220.3	313.0
3.55820e+01	131.7	219.0
3.55850e+01	-334.1	187.0
3.55880e+01	-117.7	180.0
3.55910e+01	101.4	180.0
3.55940e+01	112.4	180.0
3.55970e+01	-129.7	181.0
3.56000e+01	172.9	181.0
3.56030e+01	122.8	181.0
3.56060e+01	-228.7	181.0
3.56090e+01	1.7	181.0
3.56120e+01	119.9	182.0
3.56150e+01	-96.6	182.0
3.56180e+01	95.7	183.0
3.56210e+01	110.1	183.0
3.56240e+01	105.3	183.0
3.56270e+01	-75.7	183.0
3.56300e+01	60.8	183.0
3.56330e+01	-69.3	183.0
3.56360e+01	232.5	183.0
3.56390e+01	464.0	183.0
3.56420e+01	763.1	184.0
3.56450e+01	540.4	184.0
3.56480e+01	-100.0	184.0
3.56510e+01	156.7	184.0
3.56540e+01	-69.6	184.0
3.56570e+01	-217.0	184.0
3.56600e+01	80.3	184.0
3.56630e+01	-78.7	185.0
3.56660e+01	137.4	184.0
3.56690e+01	24.7	185.0
3.56720e+01	-5.2	184.0
3.56750e+01	-246.7	184.0
3.56780e+01	199.8	184.0
3.56810e+01	2.0	184.0
3.56840e+01	200.0	185.0
3.56870e+01	-385.3	185.0
3.56900e+01	54.5	184.0
3.56930e+01	-75.2	184.0
3.56960e+01	-160.4	185.0
3.56990e+01	-386.8	189.0
3.57020e+01	-172.7	208.0
3.57050e+01	96.1	287.0
3.57080e+01	-175.2	293.0
3.57110e+01	-47.5	209.0
3.57140e+01	63.4	189.0
3.57170e+01	273.2	185.0
