# Freq	Snu	dSnu
# GHz	uJy	uJy
3.35875e+01	-111.8	133.0
3.36115e+01	3.1	62.2
3.36355e+01	-44.5	57.4
3.36595e+01	49.0	55.2
3.36835e+01	2.2	54.2
3.37075e+01	14.6	64.7
3.37315e+01	49.4	53.1
3.37555e+01	-29.5	52.7
3.37795e+01	1.4	52.4
3.38035e+01	-27.0	52.2
3.38275e+01	-20.8	62.8
3.38515e+01	-28.3	52.1
3.38755e+01	11.6	52.1
3.38995e+01	-18.6	52.2
3.39235e+01	1.0	52.4
3.39475e+01	16.8	57.7
3.39715e+01	50.5	58.7
3.39955e+01	9.6	52.6
3.40195e+01	-26.4	52.7
3.40435e+01	-34.3	52.7
3.40675e+01	-68.4	53.0
3.40915e+01	-11.5	63.9
3.41155e+01	80.6	53.0
3.41395e+01	-42.3	53.1
3.41635e+01	-27.4	53.2
3.41875e+01	8.8	53.2
3.42115e+01	43.2	64.4
3.42355e+01	41.3	53.2
3.42595e+01	55.7	53.2
3.42835e+01	-5.9	53.6
3.43075e+01	18.5	53.9
3.43315e+01	-50.5	59.8
3.43555e+01	-46.3	61.2
3.43795e+01	-24.3	55.0
3.44035e+01	82.4	55.2
3.44275e+01	-31.1	55.1
3.44515e+01	-12.6	55.1
3.44755e+01	-21.8	66.1
3.44995e+01	-86.0	55.1
3.45235e+01	15.5	55.0
3.45475e+01	7.2	55.0
3.45715e+01	51.3	56.9
3.45955e+01	89.3	179.0
3.46195e+01	-46.6	90.9
3.46435e+01	4.0	61.2
3.46675e+01	-117.1	58.1
3.46915e+01	-28.5	56.5
3.47155e+01	-17.8	61.0
3.47395e+01	98.2	64.4
3.47635e+01	-11.4	57.9
3.47875e+01	-27.7	58.3
3.48115e+01	74.2	58.6
3.48355e+01	41.3	58.6
3.48595e+01	-13.7	69.6
3.48835e+01	67.0	57.2
3.49075e+01	66.2	57.1
3.49315e+01	-11.5	57.0
3.49555e+01	63.3	56.7
3.49795e+01	-78.1	68.3
3.50035e+01	25.7	56.7
3.50275e+01	126.6	56.5
3.50515e+01	-26.3	56.4
3.50755e+01	-53.9	56.5
3.50995e+01	25.1	62.6
3.51235e+01	40.6	63.5
3.51475e+01	-7.5	57.2
3.51715e+01	16.5	57.7
3.51955e+01	36.8	57.9
3.52195e+01	56.6	58.4
3.52435e+01	-15.1	70.8
3.52675e+01	51.3	58.6
3.52915e+01	13.1	58.7
3.53155e+01	-36.4	58.9
3.53395e+01	72.3	58.9
3.53635e+01	73.2	70.8
3.53875e+01	9.2	58.5
3.54115e+01	20.2	58.3
3.54355e+01	-105.5	58.1
3.54595e+01	-38.9	58.1
3.54835e+01	-62.9	64.2
3.55075e+01	-13.3	65.2
3.55315e+01	56.9	59.1
3.55555e+01	20.1	59.6
3.55795e+01	63.2	60.0
3.56035e+01	87.0	71.2
3.56190e+01	334.9	312.0
