# MODELFITTING RESULTS FOR MS: calibrated/uid___A002_Xbdcd3c_X3c17.ms.split.cal

# NOTICE THAT THE REDUCED CHI SQUARE SHOWN HERE IS THE VALUE
# *BEFORE* THE RE-SCALING OF THE VISIBILITY WEIGHTS.
# HOWEVER, THE PARAMETER UNCERTAINTIES ARE *ALREADY* GIVEN
# FOR A REDUCED CHI SQUARE OF 1.

###########################################
#
# MODEL CONSISTS OF:
#
# 'delta' with variables: 0.,0.,p[0]
#
##########################################

# Frequency (Hz)   p[0]  error(p[0])   Red. Chi Sq.
1.391702493359e+11     2.3709e-04  2.2091e-04   2.9147e+01 
1.391233743359e+11     2.4343e-04  2.2168e-04   2.9351e+01 
1.390764993359e+11     3.1675e-05  2.2298e-04   2.9696e+01 
1.390296243359e+11     3.8576e-05  2.2251e-04   2.9571e+01 
1.389827493359e+11    -2.8518e-05  2.2070e-04   2.9093e+01 
1.389358743359e+11     5.4649e-05  2.1996e-04   2.8899e+01 
1.388889993359e+11    -9.9281e-05  2.1988e-04   2.8876e+01 
1.388421243359e+11     8.5712e-05  2.1879e-04   2.8593e+01 
1.387952493359e+11    -1.2355e-04  2.1715e-04   2.8163e+01 
1.387483743359e+11    -7.2618e-05  2.1579e-04   2.7814e+01 
1.387014993359e+11    -5.3207e-05  2.1420e-04   2.7404e+01 
1.386546243359e+11     7.7704e-05  2.1419e-04   2.7403e+01 
1.386077493359e+11     8.1315e-05  2.1455e-04   2.7493e+01 
1.385608743359e+11    -7.1838e-05  2.1568e-04   2.7784e+01 
1.385139993359e+11     4.0784e-05  2.1806e-04   2.8401e+01 
1.384671243359e+11     4.6931e-05  2.2055e-04   2.9053e+01 
1.384202493359e+11     3.8892e-04  2.2292e-04   2.9680e+01 
1.383733743359e+11     3.7905e-04  2.2449e-04   3.0102e+01 
1.383264993359e+11     2.8884e-04  2.2662e-04   3.0677e+01 
1.382796243359e+11     2.4903e-05  2.2812e-04   3.1084e+01 
1.382327493359e+11     7.4179e-04  2.2916e-04   3.1365e+01 
1.381858743359e+11     4.1512e-04  2.2987e-04   3.1559e+01 
1.381389993359e+11     1.2843e-04  2.3131e-04   3.1958e+01 
1.380921243359e+11     1.1255e-04  2.3227e-04   3.2224e+01 
1.380452493359e+11    -6.9474e-05  2.3086e-04   3.1833e+01 
1.379983743359e+11     1.4799e-04  2.2657e-04   3.0660e+01 
1.379514993359e+11     6.0259e-05  2.2335e-04   2.9798e+01 
1.379046243359e+11    -1.3707e-04  2.2072e-04   2.9099e+01 
1.378577493359e+11     1.7068e-04  2.1919e-04   2.8697e+01 
1.378108743359e+11     3.7244e-05  2.1970e-04   2.8830e+01 
1.377639993359e+11     2.9224e-04  2.2254e-04   2.9581e+01 
1.377171243359e+11    -1.6333e-05  2.2706e-04   3.0793e+01 
1.376702493359e+11     2.0458e-04  2.3211e-04   3.2180e+01 
1.376233743359e+11     3.1090e-05  2.3743e-04   3.3669e+01 
1.375764993359e+11    -5.7541e-05  2.4190e-04   3.4951e+01 
1.375296243359e+11     1.2328e-04  2.4690e-04   3.6410e+01 
1.374827493359e+11     2.8895e-05  2.5387e-04   3.8495e+01 
1.374358743359e+11    -5.4623e-05  2.6115e-04   4.0731e+01 
1.373889993359e+11     3.1247e-04  2.6634e-04   4.2368e+01 
1.373538430859e+11    -3.3626e-04  4.0474e-04   2.4465e+01 
