# MODELFITTING RESULTS FOR MS: calibrated/uid___A002_Xbdcd3c_X3f57.ms.split.cal

# NOTICE THAT THE REDUCED CHI SQUARE SHOWN HERE IS THE VALUE
# *BEFORE* THE RE-SCALING OF THE VISIBILITY WEIGHTS.
# HOWEVER, THE PARAMETER UNCERTAINTIES ARE *ALREADY* GIVEN
# FOR A REDUCED CHI SQUARE OF 1.

###########################################
#
# MODEL CONSISTS OF:
#
# 'delta' with variables: -0.3,0.1,p[0]
#
##########################################

# Frequency (Hz)   p[0]  error(p[0])   Red. Chi Sq.
1.325727991117e+11     2.8236e-04  1.4976e-04   5.7507e+01 
1.324790491117e+11     3.4464e-05  1.5028e-04   5.7905e+01 
1.323852991117e+11    -2.2669e-04  1.4965e-04   5.7419e+01 
1.322915491117e+11     2.3146e-05  1.4875e-04   5.6732e+01 
1.321977991117e+11     1.0608e-05  1.4817e-04   5.6290e+01 
1.321040491117e+11    -8.1463e-05  1.4813e-04   5.6261e+01 
1.320102991117e+11     5.7167e-05  1.5082e-04   5.8321e+01 
1.319165491117e+11     1.8388e-04  1.5489e-04   6.1515e+01 
1.318227991117e+11     3.7692e-04  1.5751e-04   6.3611e+01 
1.317290491117e+11     3.6478e-04  1.6022e-04   6.5817e+01 
1.316352991117e+11     5.6397e-04  1.6110e-04   6.6540e+01 
1.315415491117e+11    -1.1689e-05  1.6242e-04   6.7639e+01 
1.314477991117e+11    -1.0346e-04  1.5948e-04   6.5207e+01 
1.313540491117e+11    -1.333e-04  1.5456e-04   6.1249e+01 
1.312602991117e+11     6.6819e-05  1.5370e-04   6.0569e+01 
1.311665491117e+11    -4.9788e-05  1.5847e-04   6.4391e+01 
1.310727991117e+11    -1.3470e-05  1.6524e-04   7.0008e+01 
1.309790491117e+11    -1.6004e-04  1.7310e-04   7.6824e+01 
1.308852991117e+11    -1.6078e-05  1.8156e-04   8.4515e+01 
1.308149866117e+11     6.7275e-05  2.7136e-04   4.7204e+01 
