# MODELFITTING RESULTS FOR MS: calibrated/uid___A002_Xbcde4a_X78d.ms.split.cal

# NOTICE THAT THE REDUCED CHI SQUARE SHOWN HERE IS THE VALUE
# *BEFORE* THE RE-SCALING OF THE VISIBILITY WEIGHTS.
# HOWEVER, THE PARAMETER UNCERTAINTIES ARE *ALREADY* GIVEN
# FOR A REDUCED CHI SQUARE OF 1.

###########################################
#
# MODEL CONSISTS OF:
#
# 'delta' with variables: 0.,0.,p[0]
#
##########################################

# Frequency (Hz)   p[0]  error(p[0])   Red. Chi Sq.
1.400750278961e+11     2.6831e-05  1.7499e-04   5.6326e+01 
1.399812778961e+11    -3.1636e-06  1.7482e-04   5.6223e+01 
1.398875278961e+11     6.4204e-05  1.7410e-04   5.5761e+01 
1.397937778961e+11     2.2088e-04  1.7409e-04   5.5751e+01 
1.397000278961e+11     5.8513e-05  1.7332e-04   5.5262e+01 
1.396062778961e+11    -2.2630e-04  1.7507e-04   5.6380e+01 
1.395125278961e+11     1.7660e-04  1.7958e-04   5.9323e+01 
1.394187778961e+11    -5.8560e-05  1.8429e-04   6.2480e+01 
1.393250278961e+11     3.9636e-04  1.8748e-04   6.4660e+01 
1.392312778961e+11     1.9496e-04  1.8974e-04   6.6228e+01 
1.391375278961e+11    -1.6276e-04  1.9061e-04   6.6835e+01 
1.390437778961e+11    -3.7899e-05  1.9008e-04   6.6466e+01 
1.389500278961e+11    -1.8856e-04  1.8416e-04   6.2389e+01 
1.388562778961e+11    -7.6981e-06  1.8180e-04   6.0801e+01 
1.387625278961e+11     4.1547e-05  1.8468e-04   6.2739e+01 
1.386687778961e+11     1.7333e-04  1.9331e-04   6.8742e+01 
1.385750278961e+11    -2.4869e-04  2.0267e-04   7.5566e+01 
1.384812778961e+11    -2.3495e-05  2.1234e-04   8.2949e+01 
1.383875278961e+11     1.4588e-04  2.2022e-04   8.9213e+01 
1.383250278961e+11     3.2960e-04  4.0809e-04   3.4044e+01 
