# MODELFITTING RESULTS FOR MS: calibrated/uid___A002_Xbd2fbe_X15d1.ms.split.cal

# NOTICE THAT THE REDUCED CHI SQUARE SHOWN HERE IS THE VALUE
# *BEFORE* THE RE-SCALING OF THE VISIBILITY WEIGHTS.
# HOWEVER, THE PARAMETER UNCERTAINTIES ARE *ALREADY* GIVEN
# FOR A REDUCED CHI SQUARE OF 1.

###########################################
#
# MODEL CONSISTS OF:
#
# 'delta' with variables: 0.0,0.,p[0]
#
##########################################

# Frequency (Hz)   p[0]  error(p[0])   Red. Chi Sq.
1.383581507582e+11    -1.9561e-05  2.4822e-04   5.8981e+01 
1.382644007582e+11     2.1962e-04  2.4695e-04   5.8377e+01 
1.381706507582e+11    -5.2474e-05  2.4428e-04   5.7125e+01 
1.380769007582e+11     2.1732e-04  2.4284e-04   5.6455e+01 
1.379831507582e+11     7.2913e-05  2.4132e-04   5.5745e+01 
1.378894007582e+11     4.1299e-05  2.3922e-04   5.4781e+01 
1.377956507582e+11     1.8594e-04  2.4089e-04   5.5551e+01 
1.377019007582e+11     2.8513e-04  2.4526e-04   5.7586e+01 
1.376081507582e+11     2.5421e-05  2.4867e-04   5.9195e+01 
1.375144007582e+11    -2.5972e-04  2.5270e-04   6.1130e+01 
1.374206507582e+11    -5.6897e-05  2.5593e-04   6.2697e+01 
1.373269007582e+11    -2.4946e-04  2.5917e-04   6.4302e+01 
1.372331507582e+11     7.7481e-05  2.5836e-04   6.3900e+01 
1.371394007582e+11     8.6911e-05  2.5030e-04   5.9974e+01 
1.370456507582e+11    -3.5498e-04  2.4766e-04   5.8716e+01 
1.369519007582e+11     1.2494e-04  2.5461e-04   6.2055e+01 
1.368581507582e+11     4.8075e-04  2.7031e-04   6.9944e+01 
1.367644007582e+11     3.1562e-05  2.8018e-04   7.5145e+01 
1.366706507582e+11    -7.2305e-05  2.9756e-04   8.4758e+01 
1.365769007582e+11     1.5333e-04  3.1589e-04   9.5522e+01 
