# MODELFITTING RESULTS FOR MS: calibrated/uid___A002_Xbd2fbe_X18d1.ms.split.cal

# NOTICE THAT THE REDUCED CHI SQUARE SHOWN HERE IS THE VALUE
# *BEFORE* THE RE-SCALING OF THE VISIBILITY WEIGHTS.
# HOWEVER, THE PARAMETER UNCERTAINTIES ARE *ALREADY* GIVEN
# FOR A REDUCED CHI SQUARE OF 1.

###########################################
#
# MODEL CONSISTS OF:
#
# 'delta' with variables: 0.,0.,p[0]
#
##########################################

# Frequency (Hz)   p[0]  error(p[0])   Red. Chi Sq.
1.402133636475e+11    -3.1670e-04  1.9528e-04   5.3884e+01 
1.401196136475e+11    -2.2551e-04  1.9585e-04   5.4200e+01 
1.400258636475e+11    -2.2610e-04  1.9510e-04   5.3785e+01 
1.399321136475e+11    -8.0043e-05  1.9618e-04   5.4380e+01 
1.398383636475e+11     1.3447e-04  1.9674e-04   5.4695e+01 
1.397446136475e+11    -2.9019e-04  1.9848e-04   5.5666e+01 
1.396508636475e+11    -1.4110e-04  2.0221e-04   5.7775e+01 
1.395571136475e+11     1.1757e-04  2.0658e-04   6.0301e+01 
1.394633636475e+11    -1.4792e-04  2.0936e-04   6.1935e+01 
1.393696136475e+11     1.4902e-05  2.1179e-04   6.3379e+01 
1.392758636475e+11     2.6150e-04  2.1230e-04   6.3685e+01 
1.391821136475e+11    -1.2694e-04  2.1380e-04   6.4590e+01 
1.390883636475e+11    -2.6284e-05  2.0950e-04   6.2021e+01 
1.389946136475e+11     2.1002e-04  2.0591e-04   5.9911e+01 
1.389008636475e+11     1.1089e-04  2.0770e-04   6.0956e+01 
1.388071136475e+11    -2.0052e-04  2.1603e-04   6.5947e+01 
1.387133636475e+11     1.7738e-04  2.2604e-04   7.2197e+01 
1.386196136475e+11    -1.8136e-05  2.3541e-04   7.8309e+01 
1.385258636475e+11    -2.5902e-04  2.4545e-04   8.5131e+01 
1.384516448975e+11    -1.7838e-04  3.3628e-04   5.4373e+01 
