# MODELFITTING RESULTS FOR MS: calibrated/uid___A002_Xbdb592_Xad7.ms.split.cal

# NOTICE THAT THE REDUCED CHI SQUARE SHOWN HERE IS THE VALUE
# *BEFORE* THE RE-SCALING OF THE VISIBILITY WEIGHTS.
# HOWEVER, THE PARAMETER UNCERTAINTIES ARE *ALREADY* GIVEN
# FOR A REDUCED CHI SQUARE OF 1.

###########################################
#
# MODEL CONSISTS OF:
#
# 'delta' with variables: 0.,0.,p[0]
#
##########################################

# Frequency (Hz)   p[0]  error(p[0])   Red. Chi Sq.
1.353401609264e+11     3.3594e-05  1.7682e-04   6.2536e+01 
1.352464109264e+11     1.0428e-04  1.7630e-04   6.2168e+01 
1.351526609264e+11    -7.2801e-05  1.7414e-04   6.0652e+01 
1.350589109264e+11    -4.9113e-06  1.7240e-04   5.9445e+01 
1.349651609264e+11     1.4705e-05  1.7121e-04   5.8631e+01 
1.348714109264e+11     4.0023e-05  1.7171e-04   5.8969e+01 
1.347776609264e+11    -1.4894e-05  1.7506e-04   6.1296e+01 
1.346839109264e+11    -1.6263e-04  1.7959e-04   6.4511e+01 
1.345901609264e+11    -1.3930e-04  1.8233e-04   6.6489e+01 
1.344964109264e+11    -6.7505e-05  1.8490e-04   6.8378e+01 
1.344026609264e+11    -1.5658e-04  1.8528e-04   6.8660e+01 
1.343089109264e+11     2.4849e-05  1.8596e-04   6.9164e+01 
1.342151609264e+11    -1.8077e-04  1.8319e-04   6.7119e+01 
1.341214109264e+11     1.1346e-04  1.7912e-04   6.4173e+01 
1.340276609264e+11     1.0023e-04  1.7993e-04   6.4750e+01 
1.339339109264e+11    -6.8264e-05  1.8760e-04   7.0390e+01 
1.338401609264e+11    -1.6217e-04  1.9847e-04   7.8783e+01 
1.337464109264e+11     9.8386e-05  2.0975e-04   8.7988e+01 
1.336526609264e+11     2.0476e-04  2.2201e-04   9.8578e+01 
1.335823484264e+11    -2.5316e-05  3.3348e-04   5.5612e+01 
