# MODELFITTING RESULTS FOR MS: calibrated/uid___A002_Xbdcd3c_X4166.ms.split.cal

# NOTICE THAT THE REDUCED CHI SQUARE SHOWN HERE IS THE VALUE
# *BEFORE* THE RE-SCALING OF THE VISIBILITY WEIGHTS.
# HOWEVER, THE PARAMETER UNCERTAINTIES ARE *ALREADY* GIVEN
# FOR A REDUCED CHI SQUARE OF 1.

###########################################
#
# MODEL CONSISTS OF:
#
# 'Gaussian' with variables: 0.5,-1.0,p[0],1.0,1.0,0.
#
##########################################

# Frequency (Hz)   p[0]  error(p[0])   Red. Chi Sq.
1.338806298962e+11     1.1831e-04  1.4409e-04   5.6105e+01 
1.337868798962e+11     1.4383e-04  1.4419e-04   5.6198e+01 
1.336931298962e+11     7.4915e-05  1.4241e-04   5.4835e+01 
1.335993798962e+11     1.2571e-04  1.4299e-04   5.5306e+01 
1.335056298962e+11     4.7335e-05  1.4214e-04   5.4662e+01 
1.334118798962e+11     1.0621e-04  1.4147e-04   5.4169e+01 
1.333181298962e+11    -5.3710e-05  1.4341e-04   5.5685e+01 
1.332243798962e+11     6.1748e-05  1.4613e-04   5.7829e+01 
1.331306298962e+11     1.0119e-04  1.4813e-04   5.9446e+01 
1.330368798962e+11     3.5638e-04  1.5137e-04   6.2091e+01 
1.329431298962e+11     2.4589e-04  1.5341e-04   6.3798e+01 
1.328493798962e+11     1.9470e-05  1.5594e-04   6.5935e+01 
1.327556298962e+11    -9.5702e-05  1.5517e-04   6.5306e+01 
1.326618798962e+11    -4.9601e-05  1.4988e-04   6.0949e+01 
1.325681298962e+11    -4.2660e-05  1.4753e-04   5.9074e+01 
1.324743798962e+11    -1.4284e-04  1.5106e-04   6.1954e+01 
1.323806298962e+11     1.1260e-04  1.5750e-04   6.7371e+01 
1.322868798962e+11     1.7511e-04  1.6477e-04   7.3758e+01 
1.321931298962e+11    -4.0202e-05  1.7461e-04   8.2852e+01 
1.321150048962e+11    -3.8280e-06  2.2651e-04   6.1985e+01 
