# R in kpc; SigmaH2 and SigmaMstar in Msun/kpc^2; SigmaSFR in Msun/yr/kpc^2; fH2 is unitless; tdep in Myr; sSFR in Gyr^-1
# Columns with _m are the 15.17 percentile, _p are 84.13percentile, i.e. together they span the 1sigma/68percent confidence interval
# R	SigmaH2	SigmaH2_m	SigmaH2_p	SigmaSFR	SigmaSFR_m	SigmaSFR_p	SigmaMstar	SigmaMstar_m	SigmaMstar_p	fH2	fH2_m	fH2_p	tdep	tdep_m	tdep_p	sSFR	sSFR_m	sSFR_p
0.36	1.047e+09	7.513e+08	1.529e+09	8.752e+01	7.026e+01	1.049e+02	1.575e+10	1.218e+10	1.941e+10	6.644e-02	4.769e-02	9.706e-02	1.196e+01	8.286e+00	1.904e+01	5.470e+00	4.080e+00	7.528e+00
1.07	6.027e+08	5.165e+08	7.341e+08	3.025e+01	2.616e+01	3.625e+01	4.650e+09	3.728e+09	5.592e+09	1.296e-01	1.111e-01	1.579e-01	1.993e+01	1.569e+01	2.556e+01	6.638e+00	5.166e+00	8.736e+00
1.79	3.462e+08	2.838e+08	4.439e+08	1.400e+01	1.203e+01	1.729e+01	2.037e+09	1.602e+09	2.479e+09	1.700e-01	1.393e-01	2.179e-01	2.473e+01	1.850e+01	3.320e+01	7.067e+00	5.391e+00	9.585e+00
2.50	1.989e+08	1.531e+08	2.671e+08	7.379e+00	6.223e+00	9.284e+00	1.115e+09	8.679e+08	1.368e+09	1.784e-01	1.373e-01	2.396e-01	2.696e+01	1.883e+01	3.799e+01	6.811e+00	5.087e+00	9.400e+00
3.21	1.140e+08	7.960e+07	1.590e+08	4.190e+00	3.437e+00	5.338e+00	7.050e+08	5.495e+08	8.646e+08	1.617e-01	1.129e-01	2.255e-01	2.720e+01	1.706e+01	4.044e+01	6.086e+00	4.448e+00	8.426e+00
3.93	6.516e+07	3.761e+07	9.607e+07	2.515e+00	1.991e+00	3.237e+00	5.110e+08	4.061e+08	6.169e+08	1.275e-01	7.360e-02	1.880e-01	2.591e+01	1.356e+01	4.099e+01	4.962e+00	3.569e+00	6.876e+00
4.64	3.735e+07	1.596e+07	5.879e+07	1.599e+00	1.213e+00	2.069e+00	4.298e+08	3.565e+08	5.035e+08	8.690e-02	3.713e-02	1.368e-01	2.336e+01	9.567e+00	4.212e+01	3.630e+00	2.559e+00	4.981e+00
5.35	2.136e+07	5.833e+06	3.748e+07	1.092e+00	8.067e-01	1.419e+00	3.363e+08	2.827e+08	3.897e+08	6.351e-02	1.734e-02	1.114e-01	1.955e+01	5.591e+00	4.249e+01	2.936e+00	2.005e+00	4.099e+00
6.07	1.221e+07	1.941e+06	2.442e+07	8.443e-01	6.339e-01	1.078e+00	2.445e+08	2.042e+08	2.845e+08	4.994e-02	7.938e-03	9.989e-02	1.446e+01	2.773e+00	4.364e+01	2.626e+00	1.719e+00	3.789e+00
6.78	6.988e+06	5.446e+05	1.626e+07	6.514e-01	4.946e-01	8.231e-01	1.904e+08	1.594e+08	2.212e+08	3.670e-02	2.860e-03	8.540e-02	1.073e+01	1.218e+00	4.426e+01	2.232e+00	1.399e+00	3.324e+00
7.50	3.985e+06	1.394e+05	1.117e+07	5.435e-01	4.256e-01	6.708e-01	1.379e+08	1.136e+08	1.621e+08	2.889e-02	1.010e-03	8.100e-02	7.331e+00	4.491e-01	4.497e+01	2.082e+00	1.237e+00	3.225e+00
8.21	2.275e+06	3.332e+04	7.689e+06	4.474e-01	3.577e-01	5.435e-01	1.026e+08	8.318e+07	1.217e+08	2.216e-02	3.246e-04	7.491e-02	5.086e+00	1.419e-01	4.559e+01	1.919e+00	1.069e+00	3.107e+00
8.92	1.301e+06	7.149e+03	5.394e+06	3.514e-01	2.824e-01	4.254e-01	8.744e+07	7.170e+07	1.027e+08	1.488e-02	8.176e-05	6.169e-02	3.701e+00	4.323e-02	4.637e+01	1.571e+00	8.286e-01	2.607e+00
9.64	7.423e+05	1.400e+03	3.829e+06	2.487e-01	1.958e-01	3.060e-01	9.256e+07	7.970e+07	1.049e+08	8.020e-03	1.512e-05	4.137e-02	2.985e+00	1.205e-02	4.704e+01	1.046e+00	5.200e-01	1.758e+00
10.35	4.235e+05	2.779e+02	2.709e+06	1.681e-01	1.277e-01	2.126e-01	9.470e+07	8.402e+07	1.048e+08	4.472e-03	2.934e-06	2.861e-02	2.520e+00	2.992e-03	4.780e+01	7.329e-01	3.434e-01	1.254e+00
